geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
76;OCCITANIE;2019-2020;0.4993803145745813;194.05654341296886;176.19942387050963;36.713679233973934;10.618623291144573;2.319728730151053;2.3197287353403095
32;HAUTS-DE-FRANCE;2019-2020;0.35936775279145045;226.49748753790738;179.65446929771917;31.401693104268798;8.965987688848017;1.4353479219345109;1.4353479200296508
28;NORMANDIE;2019-2020;0.5972491020641141;140.1461599888313;182.43077522651637;35.603493498460544;9.659095186691939;2.833460922059244;2.833460923834929
52;PAYS-DE-LA-LOIRE;2019-2020;0.7241429454559098;346.1887033332954;171.07504979731553;14.06841276645823;25.686804985057865;1.20534582756459;1.205345826479803
93;PROVENCE-ALPES-COTE-D-AZUR;2019-2020;0.4033320655545961;405.227706772836;172.50127310233552;25.549049476437144;15.649424337644735;1.1393137866753047;1.1393137891699432
44;GRAND EST;2020-2021;0.6366165266464694;47.84078686187341;109.22817310164706;99.99999999997986;4.875891436964826;14.75570307553756;16.454053702389107
75;NOUVELLE-AQUITAINE;2020-2021;0.4742643320165503;25.619200715427397;117.03342627773833;99.99999999999979;2.0673073186820665;11.159665905547032;12.550156519900353
84;AUVERGNE-RHONE-ALPES;2020-2021;0.7487698980634171;89.35343004134218;60.39215715404322;20.50066826127117;9.765448711801444;2.5871845556981485;2.5868014294057486
27;BOURGOGNE-FRANCHE-COMTE;2020-2021;0.6615347525550239;28.850131273325644;104.68617124674033;99.99999999988447;2.929339503825328;15.154275280142189;16.785655544776013
53;BRETAGNE;2020-2021;0.5897698627986631;31.473474437804438;129.1787405316587;99.99999999999999;3.271448567922715;13.576251567440098;15.384891032466884
24;CENTRE-VAL-DE-LOIRE;2020-2021;0.45025399902114516;30.31890833956441;121.33786387001653;98.06690627946769;2.123982530092226;9.2009487763351;10.34682825320349
94;CORSE;2020-2021;0.6367320532026934;18.79594204010834;131.65914555072325;99.99999999999999;2.0237465202770912;13.925116508255005;15.795984861192446
11;ILE-DE-FRANCE;2020-2021;0.6044385115897973;39.53410079443248;143.22471501475357;99.99999999999999;4.003499701964442;12.595539501941364;14.335930025038227
76;OCCITANIE;2020-2021;0.5320901392438271;32.271168119671486;100.3385933499474;99.99999999999999;2.951124894798409;14.091235406480445;15.486262872917868
32;HAUTS-DE-FRANCE;2020-2021;0.5496277163515089;29.577619684535303;85.97507332102616;99.99999999999916;2.554219276706159;15.100271526234092;15.983956081581258
28;NORMANDIE;2020-2021;0.5983793094669466;21.818572758622476;53.45632862890825;99.99999999996375;1.8633103707561534;22.00921824519633;19.913681203074923
52;PAYS-DE-LA-LOIRE;2020-2021;0.577425801470972;44.90600486382659;111.65982690034447;99.9999999999996;4.015114877308708;12.750695912701898;14.261318938559134
93;PROVENCE-ALPES-COTE-D-AZUR;2020-2021;0.5864874948108156;46.54510953129638;106.01360132454393;99.99999999997075;4.608201319167988;14.64127402730617;16.251654750072426
44;GRAND EST;2021-2022;0.64683276582987;246.20156256431966;210.27833660972308;18.1963605298538;21.64207624556762;1.8469792731329695;1.846979270478449
75;NOUVELLE-AQUITAINE;2021-2022;0.6371057776353264;477.90188062500505;209.81249962076032;13.364926137647464;34.435602303088054;1.1120002307472265;1.1120002335806611
84;AUVERGNE-RHONE-ALPES;2021-2022;0.6428561133196765;230.66086440848082;207.17385319355407;19.85465554777309;19.951208849100688;1.9830196899061103;1.9830196936749378
27;BOURGOGNE-FRANCHE-COMTE;2021-2022;0.6087301101104058;202.7222862742456;207.0784294750921;17.829371627763226;15.723775473484409;1.5968375833936923;1.5968375855857377
53;BRETAGNE;2021-2022;0.6661375158924118;290.0411615175121;210.22347251665764;17.610336022914026;27.125718646646185;1.9017727926821544;1.9017727808894047
24;CENTRE-VAL-DE-LOIRE;2021-2022;0.730820851163688;261.0549185294513;208.4177339589621;15.062066936386742;25.52330775163423;1.700431023014138;1.700431024870312
94;CORSE;2021-2022;0.8212963759324896;396.728230092979;210.0695628574603;15.210238477148902;40.56543585718106;1.795843283493612;1.7958432865621068
11;ILE-DE-FRANCE;2021-2022;0.739183668794691;83.0328174855019;184.60103631781058;79.45488593936209;9.579748625132874;10.562124178597031;10.93459978000934
76;OCCITANIE;2021-2022;0.786496427286683;159.19922830052099;178.86566338791127;73.83755128580619;18.69659817605204;9.994368141990446;10.17804808110169
32;HAUTS-DE-FRANCE;2021-2022;0.830421933167319;106.6689309265146;195.1490546965147;55.54708660148551;12.661454948798646;7.611993430240817;7.619733911560781
28;NORMANDIE;2021-2022;0.6697585526513106;96.92685465772477;209.36295328864279;23.901442825483077;8.250421101066593;2.3492297047737645;2.3492296976831524
52;PAYS-DE-LA-LOIRE;2021-2022;0.7522856048312271;167.86081126072264;196.88368417953384;44.61104757003101;17.449469821136073;5.354794968703787;5.3548943283200545
93;PROVENCE-ALPES-COTE-D-AZUR;2021-2022;0.6676869025434807;296.67792164245276;189.98076187736746;46.92390464656088;27.42848087770293;5.0093070759765945;5.00942668772806
